0.31016,0.77929,1.2916
0.32467,0.77929,1.3137
0.33192,0.77929,1.3246
0.33918,0.77929,1.3341
0.34643,0.77929,1.3483
0.35006,0.77929,1.3599
0.35732,0.7751,1.3711
0.35973,0.7751,1.3818
0.36336,0.7751,1.3922
0.37062,0.7751,1.4029
0.37304,0.7751,1.4151
0.37908,0.7751,1.4255
0.38392,0.7751,1.4357
0.38634,0.7751,1.4459
0.39238,0.7751,1.4563
0.39722,0.7751,1.4678
0.40085,0.7751,1.479
0.40568,0.7751,1.4903
0.41052,0.7751,1.5015
0.41415,0.7751,1.5129
0.42382,0.7751,1.524
0.43108,0.7751,1.5357
0.44317,0.7751,1.5476
0.45284,0.7751,1.5584
0.46252,0.7751,1.5695
0.47219,0.7751,1.5805
0.47944,0.7751,1.5914
0.48549,0.7751,1.6027
0.49033,0.7751,1.614
0.49154,0.7751,1.6252
0.49274,0.7751,1.6367
0.48912,0.76046,1.9744
0.48549,0.75418,1.9853
0.47823,0.73954,1.9966
0.47461,0.73117,2.0078
0.47098,0.72071,2.0193
0.46735,0.71234,2.0302
0.46372,0.70607,2.0415
0.4601,0.6977,2.0528
0.45647,0.68724,2.0641
0.45284,0.68096,2.0753
0.44921,0.66841,2.0865
0.44559,0.65795,2.098
0.44196,0.64958,2.109
0.43833,0.63285,2.1203
0.43349,0.6182,2.1315
0.43229,0.60983,2.1427
0.42745,0.591,2.154
0.42382,0.57636,2.1652
0.42019,0.56799,2.1765
0.41657,0.55126,2.1878
0.41173,0.53661,2.1991
0.40568,0.51151,2.2103
0.40085,0.49895,2.2218
0.39722,0.48431,2.234
0.39238,0.46548,2.245
0.38875,0.45502,2.256
0.38513,0.44247,2.2669
0.3815,0.42782,2.2779
0.36941,0.38808,2.3201
0.36336,0.37343,2.3244
0.35852,0.35879,2.3386
0.3549,0.34623,2.3501
0.35369,0.33996,2.3614
0.35006,0.32531,2.3727
0.34643,0.32113,2.3837
0.34281,0.31485,2.395
0.34039,0.30439,2.4061
0.33797,0.29812,2.4173
0.33555,0.29393,2.4289
0.33434,0.29184,2.44
0.33434,0.28766,2.5498
0.33555,0.28975,2.5595
